timestamp,cloud,resource_id,resource_type,cpu_utilization
2026-08-01 10:00,AWS,aws-vm-001,EC2,42
2026-08-01 11:00,AWS,aws-vm-001,EC2,45
2026-08-01 12:00,AWS,aws-vm-001,EC2,43
2026-08-01 13:00,AWS,aws-vm-001,EC2,47
2026-08-01 14:00,AWS,aws-vm-001,EC2,44
2026-08-01 15:00,AWS,aws-vm-001,EC2,46
2026-08-01 16:00,AWS,aws-vm-001,EC2,41
2026-08-01 17:00,AWS,aws-vm-001,EC2,48
2026-08-01 18:00,AWS,aws-vm-001,EC2,45
2026-08-01 19:00,AWS,aws-vm-001,EC2,43
2026-08-01 20:00,AWS,aws-vm-001,EC2,47
2026-08-01 21:00,AWS,aws-vm-001,EC2,44
2026-08-01 22:00,AWS,aws-vm-001,EC2,96
2026-08-01 23:00,AWS,aws-vm-001,EC2,45
2026-08-02 00:00,AWS,aws-vm-001,EC2,42
2026-08-02 01:00,AWS,aws-vm-001,EC2,46
2026-08-02 02:00,AWS,aws-vm-001,EC2,43
2026-08-02 03:00,AWS,aws-vm-001,EC2,44
2026-08-02 04:00,AWS,aws-vm-001,EC2,98
2026-08-02 05:00,AWS,aws-vm-001,EC2,45
2026-08-02 06:00,AWS,aws-vm-001,EC2,47
2026-08-02 07:00,AWS,aws-vm-001,EC2,42
2026-08-02 08:00,AWS,aws-vm-001,EC2,44
2026-08-02 09:00,AWS,aws-vm-001,EC2,46
2026-08-02 10:00,AWS,aws-vm-001,EC2,43
2026-08-02 11:00,AWS,aws-vm-001,EC2,45
2026-08-02 12:00,AWS,aws-vm-001,EC2,47
2026-08-02 13:00,AWS,aws-vm-001,EC2,41
2026-08-02 14:00,AWS,aws-vm-001,EC2,46
2026-08-02 15:00,AWS,aws-vm-001,EC2,44
